Name,Mileage,Dealer Name,Rating,Review Count,Price
2020 Kia Stinger GT-Line,"12,133 mi.",Ken Ganley Kia Medina,4.5,533 ,"$34,986"
2022 Cadillac CT4 Premium Luxury,"1,816 mi.",North Bay Cadillac Buick GMC,4.4,703 ,"$42,510"
2021 Kia Seltos EX,"22,615 mi.",Lupient KIA Nissan,4.9,"2,830 ","$26,617"
2021 Porsche Taycan Base,"11,027 mi.",Porsche Woodland Hills,4.9,514 ,"$111,551"
2020 Chevrolet Silverado 1500 RST,"23,731 mi.",Rizza Cadillac Buick GMC,4.6,"3,437 ","$46,950"
2020 BMW X3 M Base (A8),"44,489 mi.",Rusnak BMW,4.1,"1,290 ","$53,911"
2019 BMW 650 Gran Coupe i xDrive,"17,179 mi.",Towne BMW,2.7,22 ,"$60,495"
2019 Volkswagen Passat 2.0T SE R-Line,"26,995 mi.",Mall Drive Auto Center DBA Volkswagen of Duluth,4.9,57 ,"$22,999"
2022 Ford Bronco Big Bend,573 mi.,Ford Country,4.6,"1,891 ","$62,000"
2022 Ford Bronco Outer Banks Advanced,"1,016 mi.",Friendly Ford,3.1,"1,207 ","$63,000"
2022 Ford Bronco Wildtrak,688 mi.,Ford Country,4.6,"1,891 ","$80,000"
2021 Honda Passport Sport,"29,104 mi.",Napleton Autowerks Loves Park,4.9,828 ,"$34,999"
2021 Dodge Durango GT,"21,531 mi.",East Hills Chrysler Jeep Dodge RAM,4.8,"3,532 ","$39,415"
2022 RAM 1500 Laramie,"9,994 mi.","Huffines Chrysler, Jeep, Dodge, RAM Plano",3.4,508 ,"$61,997"
2022 Honda Accord LX 1.5T,"2,310 mi.",Luther Brookdale Honda,4.6,"6,413 ","$26,995"
2021 BMW M440 i xDrive,"14,164 mi.",BMW of Lancaster,4.0,156 ,"$60,977"
2020 BMW M760 i xDrive,"15,952 mi.",BMW of Barrington,4.9,"1,269 ","$99,995"
2022 Toyota Corolla Cross L,910 mi.,Toyota South Atlanta,4.6,969 ,"$29,999"
2021 Honda Civic ,"37,821 mi.",Rusty Wallis Honda,4.6,"3,649 ","$24,298"
2022 Toyota Corolla Cross L,910 mi.,Toyota South Atlanta,4.6,969 ,"$29,999"
2022 Toyota Corolla Cross L,"9,307 mi.",Beaver Toyota Cumming,4.6,"1,246 ","$30,000"
2021 BMW X7 xDrive40i,"33,124 mi.",Classic BMW Mini Willoughby Hills,4.9,290 ,"$65,555"
2019 Buick Enclave Essence,"41,622 mi.",Power of Bowser,4.6,771 ,"$30,977"
2021 Chevrolet Traverse LT Cloth,"48,425 mi.",Seminole Chevrolet Buick GMC,n/a,0 ,"$32,988"
2022 Nissan Murano SL,931 mi.,Executive Nissan,4.6,117 ,"$41,593"
2019 Porsche 911 Carrera S,"18,352 mi.",Porsche Riverside,4.9,"3,042 ","$124,981"
2021 Volkswagen Atlas 3.6 SE w/ Technology R-Line,"36,107 mi.",Nalley Volkswagen,4.6,349 ,"$35,780"
2021 Toyota 4Runner SR5 Premium,"51,151 mi.",Claremont Toyota,4.5,"3,343 ","$35,988"
2020 Porsche Macan Base,"26,612 mi.",Herb Chambers Porsche,4.8,390 ,"$47,998"
2017 Acura MDX 3.5L w/Advance Package,"55,040 mi.",Oakland Acura,4.9,455 ,"$30,980"
2019 Cadillac XT5 Luxury,"19,095 mi.",Bergstrom Cadillac of Madison,n/a,61 ,"$35,445"
2019 Chevrolet Silverado 1500 LD LT,"20,943 mi.",Ganley Chevrolet of Aurora,4.9,478 ,"$32,999"
2020 Ford Mustang EcoBoost,"24,669 mi.",City World Ford,4.4,558 ,"$26,284"
2019 Nissan Maxima 3.5 Platinum,"16,329 mi.",Boch Nissan South,3.5,967 ,"$34,480"
2021 Chevrolet Blazer RS,"43,213 mi.",Carl Cannon Chevrolet Buick GMC,n/a,20 ,"$43,990"
2022 INFINITI Q60 PURE,"11,660 mi.",Bob Moore INFINITI,4.7,452 ,"$39,900"
2021 Volvo V90 Cross Country T6,"23,489 mi.",Dean Team Volvo Cars of Saint Louis,4.7,955 ,"$59,995"
2022 Kia Stinger GT-Line,"8,211 mi.",Rick Case Kia,3.8,405 ,"$35,036"
2021 Chevrolet Traverse RS,"19,875 mi.",Jake Sweeney Buick GMC,2.2,138 ,"$44,998"
2021 Porsche 911 Carrera S,"3,341 mi.",Century Automotive,1.6,15 ,"$168,992"
2019 Porsche Macan S,"23,521 mi.",Porsche Monmouth,5.0,127 ,"$59,900"
2021 Toyota Highlander Hybrid Platinum,"36,815 mi.",East Madison Toyota,4.6,"1,140 ","$55,417"
2019 Volkswagen Arteon 2.0T SEL,"37,740 mi.",Volkswagen of Schenectady,4.7,"1,318 ","$30,506"
2020 Cadillac XT6 Premium Luxury FWD,"23,981 mi.",Cadillac of New Orleans,n/a,29 ,"$51,714"
2021 Porsche Cayenne Turbo,"13,885 mi.",Porsche Princeton,4.8,853 ,"$129,995"
2022 Chevrolet Colorado Z71,"2,979 mi.",Performance Buick GMC,4.8,755 ,"$41,318"
2022 Honda Accord Hybrid Sport,"2,905 mi.",Honda Cars of Rockwall,4.7,378 ,"$35,991"
2019 Toyota Tacoma TRD Sport,"61,839 mi.",Don Jacobs Toyota,4.8,"2,927 ","$33,827"
2022 Ford Maverick LARIAT,506 mi.,Kalispell Ford,4.5,226 ,"$42,990"
2020 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"29,306 mi.",Nalley Volkswagen,4.6,349 ,"$44,890"
2019 Cadillac CT6 3.0 Twin Turbo Sport,"41,739 mi.",Cadillac of Las Vegas,n/a,299 ,"$50,997"
2021 Toyota Highlander Limited,"41,670 mi.",Serra Toyota of Decatur,4.0,468 ,"$45,000"
2022 Chevrolet Camaro 1LT,"1,617 mi.",All American Chevrolet of Killeen,4.0,459 ,"$39,860"
2022 Cadillac Escalade ESV Premium Luxury,155 mi.,Cadillac of Naperville,4.3,219 ,"$112,995"
2022 Ford Expedition TIMBERLINE,"8,029 mi.",Griffin Ford,4.8,"1,979 ","$78,270"
2022 Porsche 718 Boxster GTS 4.0,"7,119 mi.",Porsche Princeton,4.8,853 ,"$116,995"
2020 Volvo V60 Cross Country T5,"29,594 mi.",Glen Cove Volvo Cars,3.7,584 ,"$39,000"
2020 Ford Mustang EcoBoost,"10,087 mi.",D'Orazio Ford,3.6,166 ,"$28,900"
2021 Toyota Camry XSE,"23,169 mi.",Lithia Toyota of Redding,4.7,"1,466 ","$35,995"
2020 Porsche 911 Carrera 4S,"2,355 mi.",Morong Falmouth Mazda,4.7,675 ,"$141,440"
2020 BMW X4 xDrive30i,"20,871 mi.",Sewell BMW MINI of Plano,4.6,"1,068 ","$48,999"
2021 Ford Mustang GT,"1,657 mi.",Mike Castrucci Ford,4.3,510 ,"$42,450"
2021 BMW 430 i,"20,529 mi.",Coggin BMW Treasure Coast,4.3,487 ,"$59,990"
2020 BMW Z4 M40i,"21,892 mi.",BMW of Henderson,4.5,"1,036 ","$54,885"
2022 Subaru WRX GT,"1,238 mi.",Subaru of Kings Automall,4.7,179 ,"$43,234"
2021 GMC Sierra 1500 AT4,"44,318 mi.",Beck & Masten North,4.1,"1,269 ","$50,944"
2019 Porsche Cayenne S,"54,838 mi.",Porsche Minneapolis,4.6,317 ,"$65,990"
2020 Porsche 911 Carrera 4S,"6,150 mi.",Foreign Cars Italia,4.9,"1,273 ","$149,492"
2021 Porsche Taycan 4S,"8,833 mi.",Champion Porsche,3.3,103 ,"$127,900"
2021 Subaru Ascent Premium 7-Passenger,"17,333 mi.","International Autos Jaguar, Land Rover, Subaru, Volvo Cars",4.7,220 ,"$34,700"
2019 Ford Expedition Max Limited,"30,090 mi.",Bill Brown Ford,4.7,790 ,"$49,999"
2019 Porsche 911 Carrera,"21,910 mi.",Beverly Hills Porsche,4.3,86 ,"$99,493"
2019 Ford Expedition Max Limited,"66,880 mi.",Bayer Ford,n/a,65 ,"$47,880"
2021 Toyota Tundra SR5,"10,587 mi.",Toyota of Warren,4.8,505 ,"$50,979"
2022 Rolls-Royce Ghost Sedan,497 mi.,Rolls-Royce Motor Cars Austin Used,n/a,n/a,"$359,995"
2020 Ford F-150 XLT,"29,314 mi.",Lake Ford,4.5,"4,177 ","$39,947"
2021 Ford F-150 XLT,"21,901 mi.",Lake Ford,4.5,"4,177 ","$47,897"
2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium R-Line,"17,408 mi.",Valenti Autocenter,n/a,32 ,"$44,899"
2022 Toyota GR86 Base,"7,155 mi.",Jack Taylor's Alexandria Toyota,3.8,515 ,"$36,995"
2022 Cadillac CT5 Sport RWD,"2,037 mi.",Thompson Buick Cadillac GMC,4.5,105 ,"$49,112"
2018 Rolls-Royce Ghost ,"11,243 mi.",Naples Luxury Imports,4.8,"1,262 ","$237,999"
2019 Subaru Ascent Limited 7-Passenger,"70,799 mi.",W & L Subaru,4.8,"3,427 ","$32,881"
2020 BMW M850 i xDrive,"32,877 mi.",BMW of Wyoming Valley,4.9,122 ,"$77,995"
2021 RAM 1500 Rebel,"17,956 mi.",Tempe Dodge Chrysler Jeep RAM,4.9,"2,197 ","$54,500"
2022 Kia Carnival EX,"20,438 mi.",Oakes Kia,4.8,"2,775 ","$52,000"
2022 Kia Carnival LXS,"13,933 mi.",Oakes Kia,4.8,"2,775 ","$41,000"
2022 Kia Carnival LXS,"25,618 mi.",Oakes Kia,4.8,"2,775 ","$40,000"
2019 RAM ProMaster 1500 Low Roof,"28,598 mi.",Ron Tonkin Chrysler Jeep Dodge Ram Fiat,4.5,541 ,"$39,977"
2020 Porsche Macan Base,"25,790 mi.",Porsche Englewood,4.1,254 ,"$54,488"
2021 Chevrolet Silverado 1500 LT Trail Boss,"13,097 mi.",Montrose Buick GMC,4.2,761 ,"$50,595"
2020 BMW X4 M SPORTS ACTIVITY,"34,807 mi.",Tulley Automotive Group,4.5,843 ,"$66,498"
2023 Chevrolet Camaro ZL1,"3,061 mi.",Les Stanford Chevrolet Cadillac,4.1,779 ,"$87,995"
2019 Subaru Outback 2.5i Premium,"61,836 mi.",Gateway Subaru,5.0,"1,068 ","$24,420"
2020 BMW X4 M40i,"29,149 mi.",Momentum BMW,4.8,"2,027 ","$53,996"
2020 BMW M760 i xDrive,"4,823 mi.",BMW of Denver Downtown,4.1,828 ,"$99,996"
2022 Cadillac Escalade ESV Premium Luxury Platinum,"1,776 mi.",Motor Werks Cadillac,4.9,729 ,"$124,999"
2021 Kia Stinger GT2,"21,099 mi.",Oakes Kia,4.8,"2,775 ","$56,000"
2017 Ferrari 488 Spider Base,"2,525 mi.",Foreign Cars Italia,4.9,"1,273 ","$314,488"
2021 Honda Pilot Touring 8-Passenger,"9,824 mi.",Rudolph Honda,4.6,932 ,"$45,600"
2021 Nissan Altima 2.5 SR,"30,629 mi.",Olympia Nissan,4.4,206 ,"$25,588"
2021 Subaru Ascent Touring 7-Passenger,"30,429 mi.",Ferguson Superstore,4.9,"6,059 ","$41,000"
2018 Kia Stinger Premium AWD,"40,100 mi.",DELLA Kia,4.6,138 ,"$29,998"
2022 Kia EV6 Light,"3,845 mi.",Schaumburg Kia,4.4,"2,642 ","$47,999"
2021 Ford F-150 Limited,"43,954 mi.",Broadway Ford Hyundai on Military,4.4,"1,167 ","$68,321"
2021 Cadillac CT5 Luxury AWD,"23,164 mi.",Lockhart Cadillac - South,3.9,81 ,"$37,835"
2020 Toyota Highlander XLE,"46,616 mi.",Toyota of Lincoln Park,3.1,396 ,"$35,900"
2022 Chevrolet Equinox RS,"12,442 mi.",Quality Chevrolet Escondido,2.9,239 ,"$31,495"
2020 Jeep Gladiator Rubicon,"22,821 mi.",Swanty's Chrysler Dodge Jeep RAM,4.6,166 ,"$54,490"
2021 Chevrolet Camaro 1LT,"19,000 mi.",Suburban Chevrolet,3.2,252 ,"$30,518"
2021 Volvo XC90 T6 Momentum 7 Passenger,"29,492 mi.",Volvo Cars of Marietta,4.7,"1,122 ","$47,698"
2022 Volkswagen Passat 2.0T R-Line,"21,089 mi.",Hall Volkswagen Mazda,4.7,604 ,"$31,992"
2022 Toyota Avalon Limited,"4,810 mi.",Pohanka Toyota of Salisbury,3.2,40 ,"$46,995"
2016 Ford Shelby GT350 Base,"20,119 mi.",Fritts Ford,4.6,725 ,"$52,995"
2020 Ford Escape SE,"25,256 mi.",Montrose Motors,n/a,0 ,"$28,995"
2022 Cadillac Escalade ESV Premium Luxury,"13,935 mi.",Classic Cadillac,3.8,158 ,"$105,229"
2021 Nissan Rogue SV,"45,914 mi.",Janesville Nissan,2.7,124 ,"$28,052"
2022 Chevrolet Silverado 1500 Limited LT Trail Boss,"20,380 mi.",O'Neill's Chevrolet Buick,4.1,142 ,"$51,800"
2022 Toyota Camry Hybrid SE,"10,626 mi.",Schaumburg Toyota,4.8,"1,611 ","$36,792"
2017 Ford Taurus Limited,"44,683 mi.",Uftring Automall,3.1,414 ,"$23,888"
2021 Volkswagen Tiguan 2.0T S,"41,239 mi.",Falcone Volkswagen Subaru,4.9,"1,963 ","$25,990"
2020 Cadillac Escalade Luxury,"53,154 mi.","Armen Cadillac, Inc.",n/a,144 ,"$55,995"
2022 Kia Carnival LX,"32,050 mi.",Crain Kia of Fort Smith,3.6,205 ,"$37,950"
2021 Toyota Highlander L,"11,962 mi.",Mark Jacobson Toyota,4.5,"2,456 ","$35,867"
2019 Toyota Highlander XLE,"23,361 mi.",Kendall Toyota of Bend,3.9,439 ,"$39,540"
2019 Ford Expedition Limited,"41,705 mi.",Watertown Ford,n/a,838 ,"$55,943"
2021 INFINITI QX80 SENSORY,"24,201 mi.",INFINITI of San Jose,4.6,138 ,"$66,500"
2021 Acura TLX A-Spec,"9,789 mi.",Lindsay Acura,3.4,283 ,"$40,180"
2017 Porsche Macan Base,"33,070 mi.",Porsche Chandler,4.7,340 ,"$40,900"
2018 Ford Expedition XLT,"69,876 mi.",Varsity Ford,4.9,"2,270 ","$38,330"
2018 Porsche 718 Cayman Base,"24,563 mi.",Porsche Ontario,5.0,343 ,"$59,881"
2021 Toyota 4Runner SR5 Premium,"43,059 mi.",Longo Toyota,4.7,"3,686 ","$36,888"
2021 Toyota Camry SE,"18,354 mi.",AutoNation Toyota Arapahoe,4.5,"3,107 ","$28,598"
2019 Chevrolet Corvette Z06,"20,805 mi.",#1 Cochran Chevrolet,4.4,308 ,"$75,500"
2022 Chevrolet Camaro LT1,"14,662 mi.",Classic Chevrolet of Houston,4.2,174 ,"$43,189"
2018 Volkswagen Beetle 2.0T S,"41,855 mi.",Napleton Autowerks Missouri,4.0,334 ,"$21,991"
2019 BMW X5 xDrive40i,"33,207 mi.",BMW of Barrington,4.9,"1,269 ","$55,899"
2019 Alfa Romeo Giulia Ti,"12,562 mi.",Alfa Romeo of Strongsville,4.8,875 ,"$35,554"
2020 Cadillac XT6 Premium Luxury FWD,"16,577 mi.",Cole Valley Cadillac,3.0,133 ,"$43,000"
2022 Dodge Challenger R/T Scat Pack,"2,035 mi.",Merrick Dodge Chrysler Jeep Ram,2.3,196 ,"$59,399"
2019 Porsche 911 Turbo,"2,979 mi.",Beverly Hills Porsche,4.3,86 ,"$194,000"
2020 Nissan Armada Platinum,"58,925 mi.",Mathews Nissan,3.6,343 ,"$37,900"
2021 Toyota Highlander XSE,"25,726 mi.",Panama City Toyota,3.8,468 ,"$43,648"
2020 BMW X7 xDrive40i,"43,141 mi.",BMW of San Antonio,4.1,959 ,"$62,962"
2019 BMW X7 xDrive40i,"32,524 mi.",BMW of San Antonio,4.1,959 ,"$63,962"
2017 Buick Enclave Leather,"61,497 mi.",Jensen Buick GMC,n/a,3 ,"$26,995"
2020 BMW X3 M SPORTS ACTIVITY VEHICLE,"4,870 mi.",Kelly BMW,3.7,125 ,"$65,900"
2019 Kia Stinger GT1,"31,676 mi.",Hyman Bros. Nissan/Kia,3.5,294 ,"$41,995"
2022 Kia Stinger GT-Line,"6,136 mi.",Greenway Kia of the Shoals,3.2,515 ,"$37,988"
2021 Ford Explorer ST,"18,292 mi.",Bison Ford,4.5,23 ,"$53,592"
2019 Aston Martin Vantage Base,"6,384 mi.",Star Motor Cars,3.7,58 ,"$128,900"
2022 Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line,"17,905 mi.",Kuhn Volkswagen,4.6,"1,191 ","$43,990"
2021 Chevrolet Malibu 1LS,"17,243 mi.",Pahrump Valley Auto Plaza,3.6,59 ,"$21,990"
2020 Dodge Durango GT,"16,208 mi.",Kaiser Bros. Chrysler Dodge Jeep Ram of Muncy,n/a,6 ,"$42,798"
2021 Jeep Wrangler Unlimited Sport,"40,285 mi.",Krystal Chrysler Jeep Dodge RAM FIAT,4.9,"1,474 ","$38,999"
2023 Kia Stinger GT2,192 mi.,Gunther Kia,3.8,"2,020 ","$52,022"
2021 GMC Sierra 1500 AT4,"21,958 mi.",Randall Buick GMC Cadillac,n/a,11 ,"$59,995"
2019 BMW 330 i,"29,323 mi.",BMW of Palm Springs,4.8,600 ,"$31,988"
2019 Toyota Highlander Hybrid Limited,"72,130 mi.",Frankfort Toyota,4.9,"3,433 ","$34,780"
2019 Ford Ranger XLT,"13,770 mi.",Kendall Ford of Meridian,4.7,"1,120 ","$37,454"
2021 Kia K5 LX,"43,800 mi.",Kalidy Kia,2.7,36 ,"$24,750"
2021 Kia K5 LXS,"29,723 mi.",Kalidy Kia,2.7,36 ,"$24,500"
2018 Volvo XC90 T6 Momentum,"36,159 mi.",Lovering Volvo Cars Meredith,5.0,101 ,"$36,100"
2021 GMC Sierra 1500 Elevation,"37,214 mi.",Beck & Masten North,4.1,"1,269 ","$40,591"
2018 Buick Envision Essence,"38,947 mi.",Community Buick GMC,4.9,351 ,"$26,864"
2020 Toyota Sienna XLE,"73,036 mi.",Stevinson Toyota East,3.7,"1,578 ","$30,984"
2021 Dodge Durango GT,"43,512 mi.",Dellen Chrysler Dodge Jeep RAM,4.6,182 ,"$37,495"
2019 GMC Acadia SLT-1,"64,415 mi.",Gross Buick of Marshfield,5.0,23 ,"$31,970"
2022 Kia Forte LXS,"11,077 mi.",Emich KIA,4.7,514 ,"$22,998"
2019 Porsche 911 GT3 RS,"1,691 mi.",Porsche Redwood City,4.9,145 ,"$273,988"
2022 Kia Stinger GT2,"11,380 mi.",Greenway Kia West,2.4,"1,636 ","$45,500"
2021 Porsche Cayenne S Coupe AWD,"6,761 mi.",Porsche Minneapolis,4.6,317 ,"$99,990"
2019 Chevrolet Silverado 1500 LT Trail Boss,"43,858 mi.",Executive Chevrolet,4.7,438 ,"$43,776"
2022 RAM 1500 Laramie,105 mi.,Lee's Summit Dodge Chrysler Jeep RAM,4.4,"1,814 ","$61,644"
2022 Nissan Armada Platinum,"8,302 mi.",Martin Nissan,4.8,"3,028 ","$67,995"
2022 GMC Sierra 3500 Denali,"18,604 mi.","Thompson Buick, GMC, Cadillac",4.7,660 ,"$77,607"
2021 Subaru Legacy Limited XT,"22,490 mi.",Subaru of Gainesville,4.6,186 ,"$31,744"
2016 Honda CR-V Touring,"72,481 mi.",Zimmerman Honda,5.0,"2,579 ","$23,891"
2021 Cadillac Escalade ESV Premium Luxury,"8,298 mi.",Rick Hendrick Cadillac,4.5,114 ,"$100,879"
2021 Ford Expedition Max Platinum,"18,551 mi.",AutoNation Ford Valencia,4.6,"1,465 ","$69,291"
2021 Toyota Highlander XLE,"10,453 mi.",Panama City Toyota,3.8,468 ,"$41,487"
2020 Ford Mustang GT Premium,"3,220 mi.",All World Ford,4.1,67 ,"$40,000"
2022 Porsche Taycan Base,"3,969 mi.",Porsche Downtown LA,4.4,72 ,"$112,898"
2021 Jeep Wrangler Unlimited Rubicon,"17,021 mi.",Pellegrino Chrysler Jeep,4.9,917 ,"$48,981"
2019 Honda Accord Hybrid Touring,"78,298 mi.",Smart Honda,4.6,820 ,"$28,944"
2021 Acura TLX Technology,"36,007 mi.",Muller's Woodfield Acura,4.8,"1,611 ","$35,505"
2020 Honda Ridgeline RTL,"19,799 mi.",Vern Eide Honda,4.9,994 ,"$38,956"
2022 Jeep Gladiator Sport,"8,385 mi.",Van Horn Chrysler Dodge Jeep Ram of Manitowoc,4.9,993 ,"$45,999"
2020 Nissan Armada Platinum,"31,073 mi.",Glendale Nissan,1.8,226 ,"$49,493"
2021 Ford Mustang GT Premium,"12,988 mi.",Broadway Ford Hyundai on Military,4.4,"1,167 ","$50,000"
2020 GMC Canyon SLT,"48,913 mi.",Performance Buick GMC,4.8,755 ,"$33,880"
2021 Cadillac CT5 Premium Luxury AWD,"16,089 mi.",Lindsay Cadillac,4.6,782 ,"$55,250"
2020 Honda Civic Si Base,"28,497 mi.",Ken Vance Honda,n/a,14 ,"$29,492"
2021 RAM 1500 Big Horn,"26,579 mi.",Spirit Chrysler Dodge Jeep RAM,n/a,939 ,"$47,900"
2022 Kia Telluride SX,"11,256 mi.",Beck & Masten Kia,2.8,92 ,"$54,495"
2019 Chevrolet Tahoe LT,"54,418 mi.",DePaula Chevrolet,4.5,"7,010 ","$39,250"
2020 Jeep Gladiator Overland,"19,462 mi.",Buhler & Bitter Jeep Chrysler Dodge RAM,3.7,257 ,"$41,400"
2022 INFINITI QX50 Luxe,"10,125 mi.",Gregory INFINITI,4.3,346 ,"$38,362"
2018 Rolls-Royce Dawn ,"22,256 mi.",Miller Motorcars,n/a,43 ,"$319,900"
2022 Cadillac CT4-V V-Series Blackwing,"1,767 mi.",Cadillac of Beverly Hills,4.6,74 ,"$74,991"
2021 Honda Passport EX-L,"29,413 mi.",Rick Case Honda,4.1,"1,370 ","$33,120"
2022 RAM 2500 Laramie,677 mi.,Hebert's Town & Country Chrysler Dodge Jeep RAM,4.8,"1,791 ","$66,500"
2018 BMW 320 i xDrive,"30,752 mi.",BMW of San Antonio,4.1,959 ,"$24,962"
2021 GMC Terrain SLE,"21,464 mi.",Davis Chevrolet,4.3,242 ,"$28,290"
2019 Chevrolet Corvette Grand Sport,"13,286 mi.",Kayser Chevrolet Buick,4.3,7 ,"$68,818"
2019 Volkswagen Arteon 2.0T SE,"22,520 mi.",Lindsay Volkswagen of Dulles,4.6,"1,809 ","$28,941"
2020 Acura MDX 3.5L w/Advance Package,"24,886 mi.",Acura of Avon,4.6,808 ,"$45,882"
2021 BMW M8 Gran Coupe Gran Coupe,"14,258 mi.",Sewell BMW of Grapevine,3.7,63 ,"$114,996"
2021 Nissan Titan PRO-4X,"4,512 mi.",Sid Dillon Hyundai,3.5,843 ,"$52,455"
2020 Toyota Highlander Platinum,"35,992 mi.",West Herr Toyota of Rochester,4.9,176 ,"$44,536"
2022 Kia Forte GT,"7,834 mi.",Ferguson Superstore,4.9,"6,059 ","$27,000"
2021 Ford Bronco Outer Banks Advanced,"6,585 mi.",Rydell of Independence,4.6,87 ,"$62,133"
2021 Jeep Wrangler Unlimited 4xe Sahara,"5,333 mi.",Jim Cogdill Chrysler Dodge Jeep RAM,2.6,211 ,"$52,874"
2022 Toyota Supra 2,"4,212 mi.",Hall Toyota Virginia Beach,4.6,566 ,"$45,900"
2017 Buick LaCrosse Premium,"36,579 mi.","Thompson Buick, GMC, Cadillac",4.7,660 ,"$26,266"
2021 BMW X3 xDrive30i,"11,462 mi.",Towne BMW,2.7,22 ,"$43,295"
2021 Ford Expedition Platinum,"30,871 mi.",Joe Machens Capital City Ford,4.7,"6,624 ","$65,999"
2021 GMC Acadia SLT,"27,596 mi.",Banks Chevy GMC Buick,4.7,"1,391 ","$41,987"
2022 Ford Expedition Max Limited,"4,171 mi.",Bob Sight Ford,4.9,"1,192 ","$73,500"
2021 BMW X7 xDrive40i,"11,909 mi.",BMW of Fairfield,4.2,9 ,"$69,687"
2019 RAM 2500 Power Wagon,"58,953 mi.",Kayser Chrysler Center Watertown,4.8,391 ,"$51,821"
2021 Toyota Highlander XSE,"8,410 mi.",Victory Toyota of Midtown,4.2,433 ,"$43,944"
2022 Porsche Panamera 4,"9,238 mi.",Manhattan Motorcars Inc.,4.8,362 ,"$105,995"
2015 INFINITI Q50 Premium,"68,654 mi.",Rickenbaugh INFINITI,4.7,57 ,"$23,000"
2022 Volkswagen Tiguan 2.0T SE,"10,819 mi.",Gorman-McCracken Volkswagen Mazda,n/a,58 ,"$32,500"
2021 Alfa Romeo Stelvio Ti,"17,286 mi.",Maserati Alfa Romeo of Wilmington Pike,3.4,89 ,"$35,995"
2021 FIAT 500X Trekking,"8,263 mi.",Lithia Chrysler Jeep Dodge Ram FIAT of Roseburg,4.8,435 ,"$24,781"
2021 GMC Sierra 1500 Elevation,"22,196 mi.",Ingersoll Auto of Pawling,5.0,114 ,"$47,900"
2022 Kia EV6 Wind,"1,214 mi.",Jerry Seiner Kia Salt Lake,3.9,45 ,"$55,875"
2020 Toyota Sienna XLE,"63,135 mi.",Stevinson Toyota East,3.7,"1,578 ","$33,983"
2018 Nissan Titan PRO-4X,"82,250 mi.",Nissan North,4.4,164 ,"$30,000"
2022 Cadillac CT5-V V-Series,"8,780 mi.",Tom Kelley Cadillac,4.9,439 ,"$62,853"
2021 Ferrari F8 Spider Base,854 mi.,Wide World Ferrari,4.1,24 ,"$517,788"
2018 Honda Pilot Elite,"60,873 mi.",AutoNation Honda Tucson Auto Mall,4.7,"1,924 ","$31,999"
2020 Chevrolet Silverado 2500 Custom,"46,136 mi.",Lotspeich Automotive,n/a,46 ,"$47,994"
2021 Acura RDX A-Spec,"34,048 mi.",AutoNation Acura Gulf Freeway,4.9,975 ,"$41,495"
2022 Cadillac CT4-V V-Series Blackwing,"6,391 mi.",Gold Coast Cadillac,4.9,"1,600 ","$71,895"
2022 Cadillac CT4-V V-Series Blackwing,"7,524 mi.",Cadillac Of Greenwich,3.5,160 ,"$73,997"
2021 BMW X7 xDrive40i,"24,478 mi.",Bill Jacobs BMW,4.9,"3,543 ","$66,977"
2022 Chevrolet Trailblazer LS,"18,200 mi.",Art Moehn Chevrolet,4.6,525 ,"$26,715"
2019 Volvo XC90 T6 R-Design,"36,927 mi.",Isringhausen Imports,4.9,843 ,"$52,900"
2021 Ford Bronco Outer Banks Advanced,"9,888 mi.",Marcotte Ford,4.8,789 ,"$54,995"
2022 INFINITI QX50 Luxe,"9,139 mi.",Gregory INFINITI,4.3,346 ,"$38,558"
2022 Kia Telluride EX,"11,610 mi.",Andy Mohr Kia,4.8,953 ,"$46,246"
2018 Chevrolet Camaro 1LT,"54,890 mi.",Hulett Chevy Buick GMC,4.7,42 ,"$23,795"
2022 Dodge Durango GT,"3,223 mi.",East Hills Chrysler Jeep Dodge RAM,4.8,"3,532 ","$47,117"
2019 Volvo V90 T6 Inscription,"12,575 mi.",Wynn Volvo Cars,5.0,645 ,"$51,999"
2021 Rolls-Royce Cullinan ,"4,297 mi.",Desert European Motorcars,3.9,281 ,"$472,990"
2020 Volvo XC90 Hybrid T8 Inscription 6 Passenger,"18,778 mi.",Smythe Volvo Cars,4.9,"4,723 ","$65,499"
2022 Jeep Grand Wagoneer Series II,"9,570 mi.",Zeigler Chrysler Dodge Jeep Ram of Schaumburg,3.8,793 ,"$93,775"
2018 Toyota Tundra SR5,"63,605 mi.",Jeff Wyler Toyota of Clarksville,2.6,"1,288 ","$37,794"
2020 GMC Yukon Denali,"57,707 mi.",Kelley Buick GMC of Bartow,4.3,464 ,"$53,227"
2019 Rolls-Royce Wraith ,"8,381 mi.",Rolls-Royce Motor Cars Raleigh,3.4,90 ,"$320,988"
2019 Cadillac CT6 Luxury,"39,215 mi.",Heritage Cadillac,4.9,"1,163 ","$40,912"
2021 Chevrolet Silverado 1500 RST,"17,180 mi.",Bradshaw Automotive,4.6,"3,866 ","$49,497"
2021 RAM 1500 Big Horn,"45,298 mi.",Hoblit Chrysler Dodge Jeep RAM,3.8,306 ,"$41,000"
2020 Toyota Avalon Limited,"8,920 mi.",Beaver Toyota Cumming,4.6,"1,246 ","$38,598"
